elevation,slope,rainfall_3day,distance_river,clay_percent,land_cover,population,flooded
1308.5,1.57,3.8,235,30.7,20,45,0
1186.7,13.16,21.2,20,55.0,40,350,0
1168.2,3.05,18.0,5779,26.7,40,302,0
1418.7,1.06,4.7,810,33.1,20,87,0
1588.5,4.66,55.1,600,15.0,40,238,0
1653.1,0.66,90.0,1275,60.1,40,497,0
1437.2,9.17,47.5,600,65.0,20,86,0
1112.3,1.46,71.1,800,36.7,40,405,1
1435.6,0.62,9.2,600,17.1,10,10,0
1400.3,4.43,122.9,622,49.8,10,0,0
1313.6,0.5,81.1,26,27.5,10,85,0
1617.5,19.16,132.5,1223,49.2,40,202,0
1517.0,0.09,150.7,47,26.9,90,59,1
1556.9,0.01,32.3,200,55.4,40,491,0
1495.3,0.5,4.8,176,31.3,30,123,0
1364.9,0.82,75.9,1393,29.5,10,107,0
1499.9,0.27,69.2,800,48.1,40,326,0
1500.9,8.6,127.6,4549,28.2,10,88,0
1628.2,17.24,17.0,2473,55.4,40,221,0
1164.0,1.69,18.7,600,21.3,30,31,0
1248.1,1.36,46.9,2099,37.6,30,48,0
1515.5,0.5,28.7,292,37.3,30,117,0
1438.8,1.88,64.1,650,31.0,40,198,0
1459.3,0.13,2.4,600,63.8,30,36,0
1205.3,1.47,9.1,1579,59.3,30,31,0
1504.4,0.5,22.8,600,56.0,40,0,0
1151.7,0.86,118.6,600,20.9,40,393,1
1238.3,0.58,82.7,600,31.8,90,112,1
1169.7,2.89,12.9,424,46.0,30,66,0
1617.0,2.29,10.1,600,27.6,10,151,0
1342.6,2.45,66.6,55,65.0,40,367,0
1224.8,4.97,17.9,121,60.3,20,123,0
1532.1,5.91,50.0,892,41.8,40,292,0
1131.1,14.46,27.2,555,55.4,20,62,0
1139.6,1.75,84.2,93,28.1,50,1105,1
1300.8,0.59,24.5,800,36.0,30,80,0
1424.8,0.44,109.5,35,21.1,40,309,0
1488.9,1.33,48.2,2301,38.1,80,116,0
1154.0,4.99,10.8,1121,46.5,80,180,1
1201.7,0.84,22.2,887,34.1,40,440,0
1100.0,0.27,50.0,90,63.5,90,109,1
1738.1,3.23,50.8,600,30.0,40,186,0
1122.7,1.23,53.8,600,41.2,20,0,1
1162.2,2.27,10.1,600,48.5,50,1183,0
1466.8,4.09,17.3,3118,29.3,40,464,0
1312.7,4.09,9.3,46,39.5,20,30,0
1284.7,4.75,75.8,6000,35.5,40,479,0
1524.3,0.95,42.9,20,39.3,40,395,0
1399.0,3.43,59.8,642,21.1,50,1359,0
1316.1,2.34,5.9,129,31.2,40,241,0
1514.0,0.09,18.9,600,15.0,30,67,0
1280.8,1.26,58.5,102,32.9,30,172,0
1192.7,5.12,37.7,600,56.4,40,347,1
1353.1,4.28,21.2,4369,29.0,40,473,0
1381.6,17.29,86.4,2023,42.9,10,51,0
1411.1,22.0,50.1,20,19.9,20,167,0
1422.7,0.97,90.0,125,37.3,20,53,0
1286.1,2.19,32.0,941,40.7,40,233,0
1250.0,0.5,10.9,669,25.7,10,107,0
1544.9,6.04,15.6,234,48.8,30,69,0
1250.0,2.55,27.1,87,41.6,40,538,0
1163.9,13.35,47.3,53,19.3,20,92,0
1536.2,17.11,54.5,1309,43.3,30,74,0
1413.7,7.95,51.4,1293,23.0,50,1463,0
1161.7,2.8,1.5,963,44.7,40,421,1
1487.5,1.16,50.0,800,29.7,30,85,0
1180.1,10.64,69.7,442,65.0,50,813,0
1470.8,1.32,34.5,600,43.1,30,146,0
1184.7,11.11,50.0,25,36.2,40,328,1
1123.6,4.61,15.3,600,40.3,30,157,0
1248.4,1.33,69.7,21,26.3,40,240,1
1231.4,0.2,28.7,91,23.8,30,84,0
1167.5,0.61,0.8,2972,43.9,30,124,0
1510.4,1.62,7.1,697,20.1,40,292,0
1389.4,1.77,12.1,1646,32.3,40,427,0
1439.5,0.51,16.7,399,33.7,40,390,0
1313.8,0.79,89.9,90,33.1,40,736,0
1250.0,1.84,11.4,600,34.9,40,242,0
1111.9,2.71,7.4,601,20.9,40,510,0
1591.3,3.13,50.0,66,58.8,40,248,0
1193.0,20.2,20.0,202,21.1,20,84,0
1103.3,0.15,26.6,415,55.1,50,1247,1
1157.1,0.23,63.6,3302,36.1,40,289,1
1504.9,2.61,7.3,736,65.0,90,74,0
1149.1,0.12,98.6,27,22.6,40,379,1
1143.5,7.18,8.1,20,30.4,40,109,0
1165.6,2.11,42.0,600,39.8,50,1254,1
1426.6,4.98,21.7,146,38.5,10,18,0
1250.0,1.36,8.8,1927,60.6,80,92,1
1138.8,3.59,49.0,777,56.1,30,46,1
1100.0,4.48,4.0,2052,33.5,10,77,0
1392.5,1.61,34.6,1171,36.8,30,118,0
1131.1,4.05,150.2,600,44.3,40,303,1
1311.0,5.85,2.7,20,25.0,10,131,0
1303.5,9.51,52.9,149,62.4,10,24,0
1669.5,0.47,17.8,1332,41.3,40,365,0
1186.3,0.64,15.8,600,47.7,40,506,1
1250.0,0.38,13.3,1893,20.3,40,363,0
1154.0,10.68,3.8,50,35.8,30,79,0
1422.6,5.23,12.3,80,24.6,30,79,0
1411.4,5.68,20.8,1655,42.5,10,127,0
1250.0,1.11,24.8,2696,15.2,40,88,0
1101.7,11.47,62.8,600,59.2,30,104,1
1184.0,2.47,8.6,222,33.3,30,43,0
1382.4,22.0,20.4,354,16.0,40,315,0
1245.9,3.66,10.5,1353,56.2,40,290,0
1220.7,7.7,24.0,282,35.0,10,24,0
1482.2,1.52,31.1,610,54.8,40,380,0
1142.4,4.23,23.7,423,35.3,20,56,0
1126.1,0.11,116.0,167,26.3,30,139,1
1123.3,0.66,34.1,208,40.1,30,52,0
1423.3,0.5,25.2,1259,37.0,40,319,0
1492.1,0.5,58.5,3147,37.9,40,500,0
1500.3,0.9,33.9,313,31.3,50,1138,0
1507.6,0.55,33.1,600,56.0,50,1329,0
1590.5,1.75,9.9,103,55.5,40,342,0
1140.1,0.5,0.6,800,28.7,30,96,0
1280.3,0.32,22.5,173,47.9,40,399,0
1160.3,22.0,50.0,800,51.8,40,533,0
1383.2,0.42,155.0,81,56.1,40,0,1
1429.7,0.75,136.5,783,62.5,10,88,1
1400.8,0.16,13.2,800,50.0,40,229,0
1516.2,2.33,19.0,2190,32.2,50,312,0
1471.0,12.19,66.8,115,26.3,40,144,0
1456.9,10.41,3.7,600,25.9,40,529,0
1501.6,13.69,45.4,341,26.1,40,184,0
1362.3,0.34,21.1,600,33.1,40,485,0
1148.7,0.17,65.2,1150,53.9,40,321,1
1489.5,2.74,34.7,1361,23.7,40,330,0
1435.7,8.96,107.2,321,41.6,80,165,1
1274.4,0.5,8.9,600,30.5,80,171,0
1175.1,15.59,36.6,193,65.0,40,332,0
1314.2,7.95,33.8,205,50.1,10,130,0
1536.1,1.92,52.5,1622,48.1,10,128,0
1250.0,3.7,70.6,186,35.0,80,124,1
1544.1,2.73,27.2,1284,56.9,30,102,0
1101.7,0.82,77.0,800,58.0,30,107,1
1250.0,0.57,31.5,20,27.3,40,393,0
1169.1,5.0,67.6,86,44.4,30,51,1
1250.0,0.52,63.0,103,36.2,40,257,1
1496.1,0.5,51.6,116,24.0,40,412,0
1291.3,12.16,21.3,280,47.0,30,103,0
1307.3,1.29,39.2,2633,29.7,40,215,0
1134.4,5.42,121.3,1306,35.0,40,485,1
1250.0,17.25,10.4,270,55.7,40,411,0
1521.0,11.69,7.7,600,45.5,30,119,0
1298.7,7.29,31.3,832,28.7,50,949,0
1372.9,10.02,83.2,600,35.1,40,395,0
1409.4,2.07,34.4,688,40.4,30,112,0
1224.3,7.08,40.5,3937,27.7,40,0,0
1250.0,6.99,62.5,600,57.6,80,26,1
1399.4,1.19,23.9,800,25.4,40,441,0
1425.4,1.64,10.0,300,61.4,40,340,0
1140.9,12.42,5.0,1110,24.7,40,357,0
1278.1,1.79,6.5,600,35.9,30,41,0
1151.4,4.34,20.1,1064,16.6,20,57,0
1376.9,0.76,50.0,600,21.7,20,138,0
1651.8,0.5,20.4,204,52.2,10,41,0
1284.8,4.63,64.3,600,44.8,40,155,0
1492.0,5.83,17.5,309,31.7,20,23,0
1143.0,11.5,8.3,37,37.9,50,939,0
1197.0,14.2,82.8,57,39.0,90,69,1
1587.0,2.76,11.6,20,47.2,40,417,0
1232.3,1.04,29.6,873,35.2,40,222,0
1227.2,1.97,85.0,695,35.0,30,19,1
1151.3,14.89,49.3,194,27.5,40,228,0
1177.7,0.22,1.5,758,56.9,40,397,0
1328.4,7.08,62.5,5444,52.4,30,117,0
1182.2,0.36,34.5,3055,31.4,30,23,0
1232.5,0.35,14.5,612,48.8,40,434,0
1605.0,0.5,6.5,800,53.5,40,550,0
1517.1,0.79,153.9,615,34.8,40,339,1
1423.0,3.59,87.6,6000,23.9,80,76,0
1193.4,15.04,5.3,20,26.3,40,355,0
1188.1,1.3,155.0,1649,24.6,30,62,1
1354.7,0.09,51.3,20,21.6,40,450,0
1328.5,3.44,18.0,600,40.6,40,311,0
1286.7,4.81,11.5,93,15.0,40,456,0
1224.3,10.09,154.4,993,26.8,50,965,1
1313.8,3.35,50.2,4547,54.7,30,52,0
1226.9,5.0,52.4,89,34.0,30,108,0
1304.7,1.16,14.7,600,57.3,40,462,0
1248.4,8.56,8.2,1159,45.1,10,61,0
1585.7,0.5,43.3,274,24.9,40,465,0
1598.1,7.88,15.4,800,53.1,40,336,0
1484.9,0.39,6.1,237,47.3,30,82,0
1538.5,0.89,14.6,600,52.6,40,337,0
1250.0,1.48,122.4,281,21.8,40,499,1
1426.1,2.3,90.0,600,22.9,10,52,0
1223.7,0.18,10.8,3987,24.7,40,407,0
1553.2,5.36,86.1,415,24.6,40,382,0
1178.9,1.04,11.2,6000,61.2,40,337,0
1334.0,0.67,7.3,600,57.6,40,674,0
1105.6,2.19,29.4,2137,25.3,40,268,0
1693.5,9.34,26.2,57,44.4,10,135,0
1437.2,0.5,32.7,550,16.7,40,386,0
1100.0,9.17,42.0,600,23.7,40,241,1
1157.5,6.08,110.1,130,25.9,40,476,1
1136.0,3.98,135.9,3267,37.8,30,21,1
1154.4,0.81,30.1,600,40.9,30,4,1
1399.9,1.29,19.1,1740,55.5,40,302,0
1170.6,0.71,32.2,600,26.4,30,99,0
1149.6,4.8,22.5,4206,39.7,40,475,0
1188.8,4.18,8.6,1083,46.6,40,192,0
1175.4,11.39,12.0,59,37.6,40,234,0
1117.0,0.0,29.4,4448,32.8,10,119,0
1420.5,1.1,64.0,600,52.0,30,109,0
1190.8,9.07,94.9,317,26.7,10,85,1
1422.7,2.02,35.2,101,46.0,40,413,0
1504.3,3.5,102.6,773,40.9,50,1814,0
1108.3,5.71,4.8,1514,64.2,30,158,0
1386.0,14.11,16.3,171,54.8,40,539,0
1328.5,5.18,36.7,370,65.0,30,76,0
1218.8,5.12,14.6,600,37.0,50,823,0
1250.0,9.23,40.2,318,43.1,40,613,0
1643.0,0.12,90.0,2045,25.8,30,68,0
1155.6,1.19,28.2,1389,32.0,40,341,0
1192.7,0.5,18.2,2123,51.5,40,268,0
1194.4,0.82,90.0,94,39.7,30,70,1
1116.8,0.5,9.0,108,30.0,10,75,0
1528.5,5.4,80.7,3155,39.7,20,80,0
1345.6,7.9,73.4,795,36.0,40,388,0
1333.5,3.94,96.8,101,45.7,80,81,1
1689.3,0.6,28.3,600,37.0,20,96,0
1525.2,0.5,8.5,600,43.0,40,275,0
1629.6,7.06,155.0,135,33.3,10,120,0
1253.4,0.45,14.1,3815,25.5,30,106,0
1341.5,3.74,28.5,266,48.3,40,309,0
1471.5,3.02,4.0,600,35.4,40,433,0
1648.0,1.37,7.0,1867,17.5,10,50,0
1100.0,0.42,44.8,654,21.8,40,298,1
1401.2,1.71,14.1,600,23.5,30,60,0
1251.0,2.31,5.4,600,27.3,40,295,0
1250.0,8.66,72.0,417,49.6,40,255,1
1167.9,5.29,29.8,39,42.3,30,67,0
1472.8,1.27,61.6,147,54.3,40,360,0
1386.9,4.38,9.5,60,33.6,30,101,0
1163.4,1.23,12.8,830,38.3,30,47,0
1424.0,7.76,44.5,1953,31.9,10,45,0
1208.7,21.98,72.2,407,53.7,30,95,0
1126.4,0.33,19.0,600,62.6,10,8,1
1498.5,1.99,11.0,600,58.5,40,352,0
1141.1,0.76,2.9,24,37.4,10,114,0
1151.6,15.8,20.5,2995,56.0,20,7,0
1587.6,1.95,25.9,1190,19.0,80,10,0
1513.6,0.08,12.1,600,36.0,40,326,0
1463.1,0.96,20.9,1782,48.6,30,0,0
1250.0,3.3,1.8,942,30.5,40,208,0
1312.0,1.32,127.5,1941,20.8,40,134,1
1250.0,0.5,10.0,2590,40.3,20,53,0
1387.8,1.11,6.7,480,36.5,30,28,0
1133.5,12.38,12.2,800,28.6,80,168,1
1121.0,10.97,155.0,2311,37.4,40,525,1
1168.5,0.22,49.2,600,45.2,40,174,1
1427.3,1.37,30.5,686,57.1,40,190,0
1473.1,22.0,50.0,702,31.8,40,130,0
1100.0,0.65,20.9,178,18.6,40,273,1
1117.6,22.0,30.8,254,34.2,40,302,0
1334.1,6.74,38.4,266,34.0,40,340,0
1250.0,1.82,12.1,600,30.4,10,39,0
1173.7,2.46,21.5,80,33.2,40,275,0
1435.3,1.88,146.2,800,22.3,40,224,1
1141.7,2.85,0.6,289,29.9,10,134,0
1599.8,6.19,11.5,43,27.6,40,242,0
1536.4,4.33,10.0,1638,60.1,50,1084,0
1491.2,0.56,1.6,2221,42.3,90,62,0
1214.1,0.59,53.5,210,27.7,40,260,0
1190.6,7.08,28.2,2111,45.2,20,57,0
1447.7,1.57,58.3,177,54.8,30,102,0
1318.6,1.14,8.9,600,65.0,20,128,0
1511.3,3.5,146.4,600,39.1,40,495,0
1570.2,0.22,10.2,220,38.9,40,544,0
1250.0,7.49,38.6,3560,51.6,50,615,0
1308.6,0.5,11.6,81,17.3,50,1744,0
1378.7,1.14,28.8,27,51.6,10,148,0
1679.9,1.55,43.8,108,23.8,20,119,0
1296.7,1.76,16.8,644,40.4,50,1625,0
1170.1,0.91,6.6,20,48.6,40,379,0
1361.1,5.66,79.8,600,55.1,40,407,0
1317.1,10.63,0.7,2545,43.6,40,253,0
1566.6,1.12,25.5,1737,31.9,40,292,0
1153.8,3.48,36.1,152,20.1,40,63,1
1457.2,2.01,19.7,1272,29.2,30,96,0
1250.0,7.95,21.4,61,44.1,40,242,0
1100.0,9.96,50.2,146,47.8,40,320,1
1604.1,0.32,48.1,4860,37.0,30,22,0
1406.2,3.46,92.1,600,15.0,90,84,1
1176.5,0.34,60.1,540,25.8,30,107,1
1393.8,2.91,37.4,800,50.5,40,381,0
1267.5,2.63,24.3,653,57.8,40,136,0
1107.3,6.15,51.0,1545,26.1,40,442,1
1673.0,3.43,90.0,866,35.9,30,128,0
1173.4,1.63,20.4,869,18.8,40,284,0
1283.0,2.03,9.4,716,60.0,10,93,0
1739.4,1.45,29.0,300,49.7,30,162,0
1563.5,0.91,31.0,2305,50.0,30,112,0
1355.9,1.03,9.3,600,43.4,20,19,0
1484.8,18.82,51.3,1851,17.7,80,81,0
1250.0,1.68,76.4,258,56.5,40,524,1
1365.1,5.09,16.6,114,55.1,20,141,0
1250.0,0.5,50.0,482,45.5,80,87,1
1346.6,3.69,90.0,234,43.3,30,27,0
1250.0,2.68,17.1,20,17.2,30,115,0
1368.3,2.92,84.5,114,47.7,20,133,0
1387.9,9.35,73.9,600,20.6,40,471,0
1250.0,7.85,50.0,1197,51.2,40,212,0
1212.4,0.31,155.0,725,15.0,10,88,1
1111.2,2.47,8.0,683,54.5,10,8,0
1100.0,3.83,90.0,4690,21.0,40,267,1
1331.0,22.0,3.1,239,47.7,40,300,0
1186.0,0.75,82.6,717,23.5,40,186,1
1344.7,0.5,2.3,800,21.3,40,431,0
1129.3,0.64,48.8,997,48.0,40,242,1
1713.0,0.16,68.5,205,41.8,40,270,0
1526.9,14.44,61.2,2716,29.1,40,256,0
1522.4,13.51,48.5,600,46.0,30,144,0
1318.1,8.56,28.6,435,31.2,20,86,0
1464.4,1.12,127.2,600,27.5,40,358,0
1397.0,0.02,21.2,2424,65.0,40,652,0
1250.0,22.0,9.5,128,51.8,20,75,0
1143.0,2.12,86.3,992,60.3,40,338,1
1250.0,0.77,53.0,2640,21.9,30,73,0
1250.0,14.34,8.4,600,28.1,30,60,0
1116.8,0.69,15.4,600,24.9,30,126,0
1570.1,0.4,24.3,600,43.3,30,99,0
1236.4,1.9,48.4,1161,33.0,40,373,0
1366.1,6.17,30.3,337,23.4,30,150,0
1685.7,2.66,79.2,1389,53.0,40,511,0
1142.3,1.68,13.3,443,53.2,10,121,0
1447.9,9.2,52.0,55,56.1,40,406,0
1388.8,1.09,29.2,742,55.5,10,96,0
1332.6,2.36,55.2,1130,34.5,30,104,0
1314.7,1.56,15.9,1378,44.3,40,293,0
1231.5,3.15,54.2,2140,40.7,40,434,0
1183.6,1.26,53.0,600,32.1,40,491,1
1203.1,17.9,54.7,199,31.6,10,125,0
1124.6,1.44,27.0,600,20.4,40,259,1
1468.5,2.11,46.3,600,62.0,30,99,0
1416.4,5.0,86.6,600,33.1,40,550,0
1214.7,0.53,72.0,1345,29.5,30,88,0
1127.8,5.3,13.1,1899,17.6,40,229,0
1319.5,12.04,10.0,600,64.5,40,468,0
1250.0,20.97,62.8,1088,60.1,40,73,0
1220.2,0.52,49.8,36,16.8,90,0,1
1163.4,2.07,1.5,1692,46.8,50,1726,0
1100.0,0.5,68.4,552,64.5,40,296,1
1602.5,2.26,155.0,45,30.6,50,1255,0
1339.3,9.28,97.6,600,24.9,20,122,0
1116.3,0.49,46.1,104,32.3,10,136,1
1149.8,1.19,155.0,827,55.1,40,440,1
1478.7,0.63,22.1,600,23.5,90,73,0
1195.4,2.02,41.4,600,32.9,40,140,1
1490.1,0.08,62.5,600,33.9,30,126,0
1335.9,0.14,123.6,103,33.2,40,362,1
1173.7,4.89,4.5,135,42.0,10,83,0
1393.5,0.64,85.7,547,36.4,40,399,0
1319.8,4.03,13.5,600,40.4,30,91,0
1136.9,0.79,48.6,372,42.5,10,0,1
1453.4,2.89,4.4,800,23.9,30,68,0
1450.9,5.72,12.3,756,28.7,40,385,0
1467.7,2.78,2.8,713,39.0,40,422,0
1430.9,6.06,80.8,600,29.2,10,48,0
1548.7,0.11,58.5,1535,59.6,40,406,0
1342.9,3.23,59.3,101,22.4,40,305,0
1456.0,0.02,61.5,838,46.8,90,61,1
1183.0,2.81,55.8,274,44.4,50,510,0
1428.1,7.7,53.5,628,35.8,10,54,0
1380.0,2.05,153.8,626,65.0,30,46,1
1250.0,2.05,86.4,2918,33.8,30,32,0
1250.0,0.08,49.3,626,50.5,40,181,0
1108.9,4.13,155.0,20,18.8,40,567,1
1138.3,0.3,16.3,205,32.4,20,91,0
1352.6,2.65,6.7,76,30.6,80,18,0
1568.4,18.87,10.4,846,37.4,40,308,0
1447.8,20.92,31.3,969,17.4,40,495,0
1100.0,0.5,12.5,61,30.5,40,371,1
1351.6,2.22,4.5,3253,34.1,40,426,0
1285.8,1.73,7.0,800,53.3,40,232,0
1326.4,0.91,10.0,5464,32.7,50,1462,0
1170.5,0.22,128.2,2383,45.9,30,55,1
1230.4,2.23,37.7,520,47.7,40,386,0
1488.2,0.5,7.5,1616,51.2,10,47,0
1118.4,1.91,52.0,1673,28.1,40,325,1
1260.6,2.77,122.6,600,19.9,40,362,1
1461.6,2.48,155.0,1570,46.0,10,43,1
1497.9,0.47,28.7,1236,45.8,10,112,0
1152.6,1.15,25.8,776,44.3,10,42,1
1596.7,9.09,18.5,600,33.3,30,18,0
1173.8,0.23,16.0,505,29.8,40,386,1
1620.4,9.72,9.2,600,24.7,90,26,0
1166.3,1.52,4.0,1377,29.9,30,64,0
1111.2,3.55,32.5,41,47.5,20,48,0
1166.5,7.18,60.5,822,47.9,40,284,1
1232.1,0.5,90.0,338,51.5,20,18,1
1437.3,7.02,90.0,418,50.0,10,107,0
1372.9,8.46,15.9,1095,47.8,40,313,0
1184.8,22.0,30.0,1198,41.8,50,1243,0
1399.3,3.93,13.3,901,29.4,50,1037,0
1837.9,1.47,95.1,48,36.4,10,87,0
1218.4,1.59,103.5,1101,54.3,20,89,0
1107.0,0.9,100.3,25,35.8,40,410,1
1273.0,9.16,50.4,20,62.1,30,69,0
1507.0,3.31,16.5,1590,53.4,40,322,0
1156.7,5.89,118.7,600,31.1,40,363,1
1129.3,10.4,15.9,119,55.5,10,80,0
1137.7,3.53,23.7,1022,39.8,30,55,0
1250.0,0.55,26.9,600,41.7,50,1295,0
1278.8,8.47,28.5,829,27.1,40,362,0
1374.2,0.5,30.7,600,26.2,40,433,0
1250.0,0.01,6.2,600,52.5,40,419,0
1128.6,1.36,21.0,42,31.5,40,381,1
1105.2,0.75,62.7,600,55.3,20,127,1
1250.0,1.23,89.2,47,15.0,40,313,0
1579.0,1.01,7.0,884,61.1,40,327,0
1298.4,1.04,115.7,50,43.7,10,38,1
1375.4,0.75,96.7,600,37.1,20,70,0
1236.0,1.58,19.2,1538,40.1,40,433,0
1517.0,0.06,123.7,2952,18.4,40,359,0
1250.0,0.04,1.6,201,20.4,40,361,0
1234.8,1.33,26.2,215,60.6,40,415,0
1367.1,11.73,144.1,1783,55.1,40,395,1
1131.2,4.94,17.6,20,31.7,40,399,1
1377.9,0.45,17.9,4099,37.0,40,303,0
1454.2,3.67,24.0,2032,28.0,10,120,0
1250.0,0.33,125.5,494,43.5,20,85,1
1202.8,0.63,16.2,3118,34.9,40,268,0
1397.2,2.8,12.9,158,28.2,40,284,0
1142.2,0.37,3.0,370,57.0,40,264,0
1358.0,0.53,10.1,600,23.3,40,140,0
1250.0,2.48,13.2,947,22.4,40,547,0
1486.3,2.42,55.3,42,53.2,30,99,0
1378.8,1.34,113.6,20,42.6,40,274,1
1430.2,3.07,13.5,2796,43.6,10,68,0
1507.1,4.78,12.3,97,64.2,40,331,0
1145.0,3.66,44.6,600,15.0,10,52,0
1255.7,4.85,155.0,1554,55.5,20,62,1
1100.0,6.67,18.5,121,41.0,40,352,1
1326.6,0.55,13.4,77,63.5,10,129,0
1211.4,0.5,7.1,196,38.0,40,233,0
1539.1,11.89,76.9,369,48.3,40,465,0
1533.8,0.6,76.7,3101,29.2,40,251,0
1490.1,4.19,9.8,212,47.9,10,92,0
1250.0,0.37,16.6,746,52.6,10,68,0
1412.5,0.5,43.8,739,32.0,40,170,0
1393.3,0.74,76.3,198,33.2,30,116,0
1721.7,3.38,54.9,130,35.3,50,553,0
1447.5,0.07,113.3,600,22.6,20,0,0
1143.9,17.68,20.4,251,65.0,40,381,0
1202.0,1.41,79.4,20,28.6,10,54,0
1572.7,0.72,9.1,781,33.1,40,111,0
1372.5,12.1,90.0,28,27.3,50,1255,0
1557.6,0.24,1.4,63,63.6,40,529,0
1250.0,2.3,30.7,866,15.1,40,303,0
1319.8,14.62,64.1,740,18.2,30,25,0
1250.0,2.53,90.0,23,36.1,80,45,1
1405.1,3.63,19.4,5391,25.8,40,430,0
1489.1,1.71,38.0,383,43.5,10,96,0
1146.9,2.33,29.2,227,53.5,10,14,1
1216.7,0.08,29.0,20,48.4,10,54,0
1291.5,13.96,36.4,381,15.0,10,55,0
1296.5,4.25,38.1,468,55.9,80,108,1
1274.0,6.43,28.0,1620,37.4,30,72,0
1374.9,1.21,41.8,794,20.1,30,41,0
1100.0,2.24,10.0,560,33.0,40,316,0
1162.3,2.49,17.6,870,21.6,40,269,0
1267.8,1.44,35.0,600,65.0,30,14,0
1158.0,10.9,20.5,694,43.4,10,145,0
1250.0,6.38,100.7,140,56.0,10,80,1
1609.9,8.35,72.0,600,58.3,40,293,0
1453.8,2.48,44.1,46,31.8,30,38,0
1586.7,1.26,117.4,713,25.1,50,1000,0
1409.0,0.13,51.8,1959,35.7,40,384,0
1167.1,0.39,3.1,600,32.2,40,135,0
1159.6,0.03,74.7,939,63.9,80,73,1
1540.3,2.9,12.8,3081,45.4,40,79,0
1398.3,8.11,9.6,359,51.6,40,243,0
1153.4,0.5,11.9,647,37.7,30,40,0
1213.3,2.43,100.9,1052,32.0,40,179,0
1299.1,0.03,17.0,410,45.3,30,35,0
1401.6,0.14,90.0,5605,39.8,40,468,0
1288.9,7.82,33.4,74,62.9,40,159,0
1518.2,0.43,17.5,600,39.3,40,336,0
1480.5,0.81,85.9,59,29.3,40,527,0
1258.0,3.16,18.9,3379,61.8,40,367,0
1221.8,7.43,21.6,152,37.1,30,94,0
1310.0,0.11,44.3,68,52.8,40,264,0
1144.3,0.5,127.3,600,40.5,80,98,1
1431.7,8.32,20.1,600,39.7,40,330,0
1487.3,3.02,11.3,4618,62.8,30,56,0
1182.0,6.51,34.1,600,32.1,90,51,1
1503.3,3.31,27.6,600,27.1,30,89,0
1407.7,3.14,2.2,41,62.4,90,125,0
1178.5,0.5,27.5,5063,30.1,20,85,0
1351.2,10.79,155.0,20,56.3,90,41,1
1220.6,0.6,23.3,1222,56.7,10,124,0
1586.9,2.84,19.0,1524,27.5,40,618,0
1544.6,7.97,49.4,600,15.2,40,362,0
1311.2,0.93,19.3,52,33.0,40,534,0
1549.1,0.5,59.9,901,54.6,40,353,0
1134.3,0.87,41.1,285,35.0,40,404,1
1396.5,0.09,50.0,183,58.4,10,68,0
1273.0,1.71,69.7,5479,56.0,30,98,0
1100.0,1.37,97.6,600,29.2,40,131,1
1361.3,5.87,31.9,600,21.0,40,340,0
1489.3,18.59,5.1,20,24.2,20,77,0
1357.6,0.56,148.4,1375,54.9,30,100,1
1121.1,2.61,47.8,600,21.5,40,317,1
1384.6,11.09,96.8,837,24.5,40,404,0
